,area,count,geometry,label,meanNPV
0,172390.37983313182,132,"POLYGON ((-73.58412177292462 -2.728352712694363, -73.58287424082005 -2.728352712694363, -73.58287424082005 -2.728664595720506, -73.5825623577939 -2.728664595720506, -73.5825623577939 -2.728976478746648, -73.58225047476778 -2.728976478746648, -73.58225047476778 -2.730224010851218, -73.58193859174163 -2.730224010851218, -73.58193859174163 -2.731783425981931, -73.58225047476778 -2.731783425981931, -73.58225047476778 -2.732095309008073, -73.58380988989848 -2.732095309008073, -73.58380988989848 -2.731783425981931, -73.58568118805533 -2.731783425981931, -73.58568118805533 -2.731471542955788, -73.58599307108148 -2.731471542955788, -73.58599307108148 -2.731159659929645, -73.58630495410762 -2.731159659929645, -73.58630495410762 -2.729600244798933, -73.58599307108148 -2.729600244798933, -73.58599307108148 -2.729288361772791, -73.58568118805533 -2.729288361772791, -73.58568118805533 -2.728976478746648, -73.5847455389769 -2.728976478746648, -73.5847455389769 -2.728664595720506, -73.58412177292462 -2.728664595720506, -73.58412177292462 -2.728352712694363))",1,0.03369143560710353
1,438364.01443051116,250,"POLYGON ((-73.63807753644727 -3.039923855810695, -73.63339929105513 -3.039923855810695, -73.63339929105513 -3.040235738836838, -73.633087408029 -3.040235738836838, -73.633087408029 -3.04054762186298, -73.63277552500286 -3.04054762186298, -73.63277552500286 -3.041171387915265, -73.63246364197671 -3.041171387915265, -73.63246364197671 -3.042418920019835, -73.63277552500286 -3.042418920019835, -73.63277552500286 -3.042730803045977, -73.633087408029 -3.042730803045977, -73.633087408029 -3.04304268607212, -73.6346468231597 -3.04304268607212, -73.6346468231597 -3.042730803045977, -73.63495870618584 -3.042730803045977, -73.63495870618584 -3.042418920019835, -73.63558247223813 -3.042418920019835, -73.63558247223813 -3.042107036993692, -73.63620623829041 -3.042107036993692, -73.63620623829041 -3.042418920019835, -73.6368300043427 -3.042418920019835, -73.6368300043427 -3.042730803045977, -73.63745377039498 -3.042730803045977, -73.63745377039498 -3.04304268607212, -73.63807753644727 -3.04304268607212, -73.63807753644727 -3.043354569098262, -73.63838941947341 -3.043354569098262, -73.63838941947341 -3.043666452124405, -73.63870130249956 -3.043666452124405, -73.63870130249956 -3.04429021817669, -73.6390131855257 -3.04429021817669, -73.6390131855257 -3.044913984228975, -73.63932506855184 -3.044913984228975, -73.63932506855184 -3.045537750281259, -73.63963695157798 -3.045537750281259, -73.63963695157798 -3.046161516333544, -73.63994883460413 -3.046161516333544, -73.63994883460413 -3.045849633307402, -73.64057260065641 -3.045849633307402, -73.64057260065641 -3.045537750281259, -73.6411963667087 -3.045537750281259, -73.6411963667087 -3.045225867255117, -73.64088448368256 -3.045225867255117, -73.64088448368256 -3.044913984228975, -73.6411963667087 -3.044913984228975, -73.6411963667087 -3.043978335150547, -73.64088448368256 -3.043978335150547, -73.64088448368256 -3.043666452124405, -73.64057260065641 -3.043666452124405, -73.64057260065641 -3.04304268607212, -73.64026071763027 -3.04304268607212, -73.64026071763027 -3.042730803045977, -73.63994883460413 -3.042730803045977, -73.63994883460413 -3.042107036993692, -73.63963695157798 -3.042107036993692, -73.63963695157798 -3.04179515396755, -73.63932506855184 -3.04179515396755, -73.63932506855184 -3.041171387915265, -73.6390131855257 -3.041171387915265, -73.6390131855257 -3.040859504889122, -73.63870130249956 -3.040859504889122, -73.63870130249956 -3.04054762186298, -73.63838941947341 -3.04054762186298, -73.63838941947341 -3.040235738836838, -73.63807753644727 -3.040235738836838, -73.63807753644727 -3.039923855810695))",1,0.11965073812894571
2,308060.3673999545,186,"POLYGON ((-73.67332031840137 -3.022146523320574, -73.67300843537522 -3.022146523320574, -73.67300843537522 -3.022458406346717, -73.67269655234908 -3.022458406346717, -73.67269655234908 -3.022770289372859, -73.67238466932294 -3.022770289372859, -73.67238466932294 -3.024017821477429, -73.67269655234908 -3.024017821477429, -73.67269655234908 -3.024641587529714, -73.67300843537522 -3.024641587529714, -73.67300843537522 -3.025577236608141, -73.67269655234908 -3.025577236608141, -73.67269655234908 -3.025889119634284, -73.67238466932294 -3.025889119634284, -73.67238466932294 -3.026512885686568, -73.67207278629679 -3.026512885686568, -73.67207278629679 -3.026824768712711, -73.67144902024451 -3.026824768712711, -73.67144902024451 -3.027136651738854, -73.67113713721838 -3.027136651738854, -73.67113713721838 -3.027448534764996, -73.67082525419224 -3.027448534764996, -73.67082525419224 -3.027760417791138, -73.67051337116609 -3.027760417791138, -73.67051337116609 -3.028072300817281, -73.67020148813995 -3.028072300817281, -73.67020148813995 -3.029319832921851, -73.67051337116609 -3.029319832921851, -73.67051337116609 -3.029631715947993, -73.67176090327065 -3.029631715947993, -73.67176090327065 -3.029319832921851, -73.67207278629679 -3.029319832921851, -73.67207278629679 -3.029007949895708, -73.67238466932294 -3.029007949895708, -73.67238466932294 -3.028696066869566, -73.67269655234908 -3.028696066869566, -73.67269655234908 -3.028384183843424, -73.67300843537522 -3.028384183843424, -73.67300843537522 -3.028072300817281, -73.67332031840137 -3.028072300817281, -73.67332031840137 -3.027760417791138, -73.67363220142751 -3.027760417791138, -73.67363220142751 -3.027448534764996, -73.67394408445365 -3.027448534764996, -73.67394408445365 -3.027136651738854, -73.67425596747979 -3.027136651738854, -73.67425596747979 -3.026824768712711, -73.67487973353208 -3.026824768712711, -73.67487973353208 -3.026512885686568, -73.67519161655822 -3.026512885686568, -73.67519161655822 -3.026201002660426, -73.67581538261051 -3.026201002660426, -73.67581538261051 -3.025889119634284, -73.67612726563665 -3.025889119634284, -73.67612726563665 -3.024953470555856, -73.67581538261051 -3.024953470555856, -73.67581538261051 -3.024641587529714, -73.67550349958437 -3.024641587529714, -73.67550349958437 -3.024329704503571, -73.67519161655822 -3.024329704503571, -73.67519161655822 -3.024017821477429, -73.67487973353208 -3.024017821477429, -73.67487973353208 -3.023705938451286, -73.67456785050594 -3.023705938451286, -73.67456785050594 -3.023394055425144, -73.67425596747979 -3.023394055425144, -73.67425596747979 -3.023082172399001, -73.67394408445365 -3.023082172399001, -73.67394408445365 -3.022770289372859, -73.67363220142751 -3.022770289372859, -73.67363220142751 -3.022458406346717, -73.67332031840137 -3.022458406346717, -73.67332031840137 -3.022146523320574))",1,0.11164549088709969
3,152533.52466280197,109,"POLYGON ((-73.7344493915253 -2.990334454654041, -73.73351374244687 -2.990334454654041, -73.73351374244687 -2.990646337680184, -73.73320185942073 -2.990646337680184, -73.73320185942073 -2.990958220706327, -73.73288997639459 -2.990958220706327, -73.73288997639459 -2.991581986758611, -73.73257809336845 -2.991581986758611, -73.73257809336845 -2.992205752810897, -73.73195432731616 -2.992205752810897, -73.73195432731616 -2.992829518863181, -73.7322662103423 -2.992829518863181, -73.7322662103423 -2.993141401889324, -73.73257809336845 -2.993141401889324, -73.73257809336845 -2.993765167941609, -73.73288997639459 -2.993765167941609, -73.73288997639459 -2.995636466098464, -73.73320185942073 -2.995636466098464, -73.73320185942073 -2.995948349124606, -73.73413750849916 -2.995948349124606, -73.73413750849916 -2.995636466098464, -73.7344493915253 -2.995636466098464, -73.7344493915253 -2.994388933993894, -73.73476127455145 -2.994388933993894, -73.73476127455145 -2.990646337680184, -73.7344493915253 -2.990646337680184, -73.7344493915253 -2.990334454654041))",1,0.0414618210345615
4,156231.95074997103,110,"POLYGON ((-73.83082124660332 -2.223414093369698, -73.82957371449875 -2.223414093369698, -73.82957371449875 -2.22372597639584, -73.82926183147261 -2.22372597639584, -73.82926183147261 -2.224661625474268, -73.82957371449875 -2.224661625474268, -73.82957371449875 -2.22497350850041, -73.82988559752489 -2.22497350850041, -73.82988559752489 -2.22622104060498, -73.82957371449875 -2.22622104060498, -73.82957371449875 -2.226532923631122, -73.82926183147261 -2.226532923631122, -73.82926183147261 -2.22871610481412, -73.82957371449875 -2.22871610481412, -73.82957371449875 -2.229027987840262, -73.83050936357718 -2.229027987840262, -73.83050936357718 -2.22871610481412, -73.83082124660332 -2.22871610481412, -73.83082124660332 -2.228092338761835, -73.83113312962946 -2.228092338761835, -73.83113312962946 -2.22746857270955, -73.83144501265561 -2.22746857270955, -73.83144501265561 -2.227156689683408, -73.83175689568175 -2.227156689683408, -73.83175689568175 -2.226844806657265, -73.83206877870789 -2.226844806657265, -73.83206877870789 -2.225597274552695, -73.83175689568175 -2.225597274552695, -73.83175689568175 -2.225285391526552, -73.83144501265561 -2.225285391526552, -73.83144501265561 -2.224661625474268, -73.83113312962946 -2.224661625474268, -73.83113312962946 -2.22372597639584, -73.83082124660332 -2.22372597639584, -73.83082124660332 -2.223414093369698))",1,0.13178337613092914
5,207624.91346744975,158,"POLYGON ((-74.47953794097967 -3.72762592845485, -74.4782904088751 -3.72762592845485, -74.4782904088751 -3.727937811480993, -74.47797852584895 -3.727937811480993, -74.47797852584895 -3.72887346055942, -74.4782904088751 -3.72887346055942, -74.4782904088751 -3.729809109637848, -74.47860229190124 -3.729809109637848, -74.47860229190124 -3.731056641742418, -74.47891417492738 -3.731056641742418, -74.47891417492738 -3.731680407794702, -74.47922605795353 -3.731680407794702, -74.47922605795353 -3.732304173846988, -74.47953794097967 -3.732304173846988, -74.47953794097967 -3.73261605687313, -74.47984982400581 -3.73261605687313, -74.47984982400581 -3.732927939899272, -74.48109735611038 -3.732927939899272, -74.48109735611038 -3.73261605687313, -74.48140923913653 -3.73261605687313, -74.48140923913653 -3.732304173846988, -74.48172112216267 -3.732304173846988, -74.48172112216267 -3.731992290820845, -74.48203300518881 -3.731992290820845, -74.48203300518881 -3.73136852476856, -74.48234488821495 -3.73136852476856, -74.48234488821495 -3.729809109637848, -74.48203300518881 -3.729809109637848, -74.48203300518881 -3.729497226611705, -74.48172112216267 -3.729497226611705, -74.48172112216267 -3.729185343585563, -74.48140923913653 -3.729185343585563, -74.48140923913653 -3.72887346055942, -74.48109735611038 -3.72887346055942, -74.48109735611038 -3.728561577533278, -74.4804735900581 -3.728561577533278, -74.4804735900581 -3.728249694507135, -74.48016170703195 -3.728249694507135, -74.48016170703195 -3.727937811480993, -74.47953794097967 -3.727937811480993, -74.47953794097967 -3.72762592845485))",1,0.06089329331163804
6,156019.81996669207,122,"POLYGON ((-74.48328053729338 -3.722012033984286, -74.48203300518881 -3.722012033984286, -74.48203300518881 -3.722323917010428, -74.48172112216267 -3.722323917010428, -74.48172112216267 -3.722635800036571, -74.48140923913653 -3.722635800036571, -74.48140923913653 -3.723259566088855, -74.48109735611038 -3.723259566088855, -74.48109735611038 -3.724507098193425, -74.48140923913653 -3.724507098193425, -74.48140923913653 -3.724818981219568, -74.48172112216267 -3.724818981219568, -74.48172112216267 -3.725130864245711, -74.48203300518881 -3.725130864245711, -74.48203300518881 -3.725442747271853, -74.48234488821495 -3.725442747271853, -74.48234488821495 -3.725754630297995, -74.4826567712411 -3.725754630297995, -74.4826567712411 -3.726066513324138, -74.48296865426724 -3.726066513324138, -74.48296865426724 -3.726378396350281, -74.48328053729338 -3.726378396350281, -74.48328053729338 -3.726690279376423, -74.48421618637181 -3.726690279376423, -74.48421618637181 -3.726378396350281, -74.48452806939794 -3.726378396350281, -74.48452806939794 -3.722947683062713, -74.48421618637181 -3.722947683062713, -74.48421618637181 -3.722635800036571, -74.48390430334567 -3.722635800036571, -74.48390430334567 -3.722323917010428, -74.48328053729338 -3.722323917010428, -74.48328053729338 -3.722012033984286))",1,0.08105517815273618
7,219033.64597713226,166,"POLYGON ((-74.57060778461327 -3.698932690049743, -74.56904836948256 -3.698932690049743, -74.56904836948256 -3.699244573075885, -74.56811272040413 -3.699244573075885, -74.56811272040413 -3.699556456102028, -74.56780083737799 -3.699556456102028, -74.56780083737799 -3.69986833912817, -74.56748895435184 -3.69986833912817, -74.56748895435184 -3.700180222154313, -74.56780083737799 -3.700180222154313, -74.56780083737799 -3.700803988206598, -74.56811272040413 -3.700803988206598, -74.56811272040413 -3.70111587123274, -74.56842460343027 -3.70111587123274, -74.56842460343027 -3.701427754258882, -74.56904836948256 -3.701427754258882, -74.56904836948256 -3.701739637285025, -74.5693602525087 -3.701739637285025, -74.5693602525087 -3.702051520311167, -74.57216719974399 -3.702051520311167, -74.57216719974399 -3.701739637285025, -74.57310284882242 -3.701739637285025, -74.57310284882242 -3.701427754258882, -74.57372661487469 -3.701427754258882, -74.57372661487469 -3.70111587123274, -74.57403849790083 -3.70111587123274, -74.57403849790083 -3.700492105180455, -74.57435038092697 -3.700492105180455, -74.57435038092697 -3.699556456102028, -74.57403849790083 -3.699556456102028, -74.57403849790083 -3.699244573075885, -74.57060778461327 -3.699244573075885, -74.57060778461327 -3.698932690049743))",1,0.2855085062009181
8,205873.77901244976,141,"POLYGON ((-74.70471748585453 -3.511802874364258, -74.70440560282839 -3.511802874364258, -74.70440560282839 -3.512114757390401, -74.7037818367761 -3.512114757390401, -74.7037818367761 -3.512738523442686, -74.70346995374996 -3.512738523442686, -74.70346995374996 -3.513362289494971, -74.7037818367761 -3.513362289494971, -74.7037818367761 -3.513674172521113, -74.70346995374996 -3.513674172521113, -74.70346995374996 -3.514297938573398, -74.70284618769767 -3.514297938573398, -74.70284618769767 -3.514921704625683, -74.70253430467153 -3.514921704625683, -74.70253430467153 -3.515233587651825, -74.70315807072382 -3.515233587651825, -74.70315807072382 -3.515545470677968, -74.70346995374996 -3.515545470677968, -74.70346995374996 -3.516169236730253, -74.70409371980224 -3.516169236730253, -74.70409371980224 -3.516481119756395, -74.70440560282839 -3.516481119756395, -74.70440560282839 -3.516793002782538, -74.70471748585453 -3.516793002782538, -74.70471748585453 -3.51710488580868, -74.7059650179591 -3.51710488580868, -74.7059650179591 -3.516481119756395, -74.70627690098524 -3.516481119756395, -74.70627690098524 -3.515233587651825, -74.7059650179591 -3.515233587651825, -74.7059650179591 -3.514297938573398, -74.70627690098524 -3.514297938573398, -74.70627690098524 -3.513986055547256, -74.70658878401139 -3.513986055547256, -74.70658878401139 -3.513362289494971, -74.70690066703753 -3.513362289494971, -74.70690066703753 -3.513674172521113, -74.70721255006367 -3.513674172521113, -74.70721255006367 -3.513362289494971, -74.70690066703753 -3.513362289494971, -74.70690066703753 -3.512738523442686, -74.70627690098524 -3.512738523442686, -74.70627690098524 -3.512426640416543, -74.70565313493296 -3.512426640416543, -74.70565313493296 -3.512114757390401, -74.70471748585453 -3.512114757390401, -74.70471748585453 -3.511802874364258))",1,0.16174910557962843
9,270131.11970647826,169,"POLYGON ((-74.87812444838976 -3.389856611142551, -74.87687691628518 -3.389856611142551, -74.87687691628518 -3.390168494168693, -74.87656503325904 -3.390168494168693, -74.87656503325904 -3.390792260220978, -74.8762531502329 -3.390792260220978, -74.8762531502329 -3.391104143247121, -74.87594126720676 -3.391104143247121, -74.87594126720676 -3.391727909299405, -74.87562938418061 -3.391727909299405, -74.87562938418061 -3.392039792325548, -74.87531750115447 -3.392039792325548, -74.87531750115447 -3.392975441403975, -74.87500561812833 -3.392975441403975, -74.87500561812833 -3.393287324430118, -74.87469373510218 -3.393287324430118, -74.87469373510218 -3.393599207456261, -74.8740699690499 -3.393599207456261, -74.8740699690499 -3.393911090482403, -74.87375808602376 -3.393911090482403, -74.87375808602376 -3.394846739560831, -74.8740699690499 -3.394846739560831, -74.8740699690499 -3.395158622586973, -74.87438185207604 -3.395158622586973, -74.87438185207604 -3.395470505613115, -74.87469373510218 -3.395470505613115, -74.87469373510218 -3.396718037717685, -74.87438185207604 -3.396718037717685, -74.87438185207604 -3.397965569822255, -74.87469373510218 -3.397965569822255, -74.87469373510218 -3.398277452848398, -74.87562938418061 -3.398277452848398, -74.87562938418061 -3.397965569822255, -74.87594126720676 -3.397965569822255, -74.87594126720676 -3.397653686796113, -74.8762531502329 -3.397653686796113, -74.8762531502329 -3.396406154691543, -74.87656503325904 -3.396406154691543, -74.87656503325904 -3.393599207456261, -74.87687691628518 -3.393599207456261, -74.87687691628518 -3.393287324430118, -74.87718879931133 -3.393287324430118, -74.87718879931133 -3.392039792325548, -74.87750068233747 -3.392039792325548, -74.87750068233747 -3.391727909299405, -74.87781256536361 -3.391727909299405, -74.87781256536361 -3.391104143247121, -74.87812444838976 -3.391104143247121, -74.87812444838976 -3.389856611142551))",1,0.04256848323766245
10,150684.43133550318,95,"POLYGON ((-75.12420015601616 -3.321554228417349, -75.12420015601616 -3.321242345391207, -75.1245120390423 -3.321242345391207, -75.1245120390423 -3.320306696312779, -75.12420015601616 -3.320306696312779, -75.12420015601616 -3.319994813286637, -75.12201697483316 -3.319994813286637, -75.12201697483316 -3.319682930260494, -75.12076944272859 -3.319682930260494, -75.12076944272859 -3.319994813286637, -75.12045755970244 -3.319994813286637, -75.12045755970244 -3.320618579338922, -75.11983379365016 -3.320618579338922, -75.11983379365016 -3.320930462365064, -75.11952191062403 -3.320930462365064, -75.11952191062403 -3.320618579338922, -75.11921002759789 -3.320618579338922, -75.11921002759789 -3.320930462365064, -75.11889814457174 -3.320930462365064, -75.11889814457174 -3.321242345391207, -75.1185862615456 -3.321242345391207, -75.1185862615456 -3.322177994469634, -75.11889814457174 -3.322177994469634, -75.11889814457174 -3.322489877495777, -75.11983379365016 -3.322489877495777, -75.11983379365016 -3.322177994469634, -75.1201456766763 -3.322177994469634, -75.1201456766763 -3.321242345391207, -75.12108132575473 -3.321242345391207, -75.12108132575473 -3.321554228417349, -75.12139320878087 -3.321554228417349, -75.12139320878087 -3.321866111443491, -75.12264074088544 -3.321866111443491, -75.12264074088544 -3.321554228417349, -75.12420015601616 -3.321554228417349))",1,0.06652777384377297
